loc,lat,longit,grouper,scenario,ensemble,year,spray1,spray2,spray3,dd1,dd2,dd3,dd3off,pon1,pon2,pon3,poff1,poff3,duration,maxdd,totdd,residue1,residue2,residue3,mdeffect,ceffectnmd,ceffectmd,time1,time2,time3,time4
East Oroville,48.980461,-119.41203,50,Historical,bcc-csm1-1-m,2001,12may2001,28may2001,11jun2001,372,525,865,1091,.0131975958148788,.1670000887723324,.8680731464378746,.1615582847413053,.9865758309411915,.9679364310952856,3258,3338,0,14,14,27.235666,13.957981,4.144639,1,,,
East Oroville,48.980461,-119.41203,51,Historical,bcc-csm1-1-m,2002,21may2002,31may2002,14jun2002,372,524,720,903,.0131975958148788,.1651755351451852,.6221504592582072,.1615582847413053,.9055279582151012,.8887131119963426,2799,2873,0,14,14,43.972515,17.862122,7.4489813,1,,,
East Oroville,48.980461,-119.41203,52,Historical,bcc-csm1-1-m,2003,06may2003,15may2003,29may2003,375,523,660,822,.0141687136091938,.1633615847384016,.4784455522035588,.1670000887723324,.8127789745466144,.8022487649713514,2744,2791,0,14,14,40.129238,23.060312,9.3975859,1,,,
East Oroville,48.980461,-119.41203,53,Historical,bcc-csm1-1-m,2004,27may2004,07jun2004,21jun2004,375,524,723,983,.0141687136091938,.1651755351451852,.6288664395876663,.1670000887723324,.9563876153569716,.9440434553749251,2516,2667,0,14,14,45.307961,16.129719,7.2044859,1,,,
East Oroville,48.980461,-119.41203,54,Historical,bcc-csm1-1-m,2005,11may2005,28may2005,11jun2005,380,521,697,935,.0159104576369678,.1597656811991448,.5689221666550505,.1762801743775738,.9298866657359862,.9304907012774474,2584,2621,0,14,14,44.0942,16.146824,7.1613498,1,,,
East Oroville,48.980461,-119.41203,55,Historical,BNU-ESM,1979,27may1979,10jun1979,24jun1979,378,525,767,1025,.0151948384005804,.1670000887723324,.7201584327211499,.1725368800660678,.9719376089994729,.9622795618926279,2593,2806,0,14,14,40.349823,15.214464,6.0584335,1,,,
East Oroville,48.980461,-119.41203,56,Historical,BNU-ESM,1980,01jun1980,12jun1980,26jun1980,379,523,666,866,.0155494454805626,.1633615847384016,.4933920505365734,.1744033520426749,.8691895454030207,.8646818672267315,2214,2282,0,14,14,52.778488,21.932772,10.048514,1,,,
East Oroville,48.980461,-119.41203,57,Historical,BNU-ESM,1981,13may1981,24may1981,07jun1981,375,522,617,849,.0141687136091938,.1615582847413053,.3708292695963245,.1670000887723324,.8491877563426978,.8404608467645311,2590,2710,0,14,14,51.365326,20.937174,10.176105,1,,,
East Oroville,48.980461,-119.41203,58,Historical,BNU-ESM,1982,26may1982,05jun1982,19jun1982,375,527,796,986,.0141687136091938,.1706808112511181,.7721035811502701,.1670000887723324,.9577072112250989,.9398577751371194,2573,2662,0,14,14,41.386028,15.919805,6.4992433,1,,,
East Oroville,48.980461,-119.41203,59,Historical,BNU-ESM,1983,13may1983,28may1983,11jun1983,379,521,718,920,.0155494454805626,.1597656811991448,.617642004826596,.1744033520426749,.9192165847697393,.9183048101327068,2436,2522,0,14,14,47.496788,17.450932,8.409976,1,,,
East Oroville,48.980461,-119.41203,60,Historical,BNU-ESM,1984,06jun1984,15jun1984,29jun1984,377,520,739,1002,.0148465629584921,.1579838190064852,.6636844476575565,.1706808112511181,.9641719411664097,.9620223704525505,2517,2607,0,14,14,44.040718,16.025957,6.8908091,1,,,
East Oroville,48.980461,-119.41203,61,Historical,BNU-ESM,1985,14jun1985,25jun1985,09jul1985,374,520,763,1059,.0138389932426956,.1579838190064852,.7124597257938499,.1651755351451852,.9806805095024853,.9740332323984896,2208,2286,0,14,14,46.872631,15.486909,7.6808343,1,,,
East Oroville,48.980461,-119.41203,62,Historical,BNU-ESM,1986,14may1986,27may1986,10jun1986,380,526,731,935,.0159104576369678,.1688351972932566,.6464917644494614,.1762801743775738,.9298866657359862,.9214211851833356,2676,2715,0,14,14,41.012943,16.337679,6.9627299,1,,,
