Varroa Population Simulation - Aug 13,2019  11:42:04 AM
VarroaPop Version 3.2.8.16 September 2018

                                        Capped  Capped                                                                      Prop           Conc          Conc                                             
            Colony  Adult  Adult         Drone   Wkr    Drone  Wkr    Drone  Wkr  Free   DBrood WBrood DMite  WMite  Mites  Mites  Colony Pollen Colony Nectar   Dead   Dead   Dead   Dead   Dead    Queen      Ave
     Date   Size   Drones   Wkr   Forgrs Brood  Brood   Larv   Larv    Eggs  Eggs Mites  Mites  Mites  /Cell  /Cell  Dying  Dying  Pollen  Pest  Nectar  Pest    DLarv  WLarv  DAdlt  WAdlt  Forgrs  Strength   Temp   Rain
03/10/2002    963      0    963      0     17   5464     12   1494      0      0      0      0      0   0.00   0.00      0   0.00 5613.1  0.000 7555.8  0.000      0      0      0      0      0      5.000   15.000  0.525
03/11/2002   1226      0   1226      0     22   5698      7    997      0      0      0      0      0   0.00   0.00      0   0.00 5611.7  0.000 7538.8  0.000      0      0      0      0      0      5.000   12.845  0.450
03/12/2002   1456      0   1456      0     27   5802      2    663      0      0      0      0      0   0.00   0.00      0   0.00 5609.4  0.000 7519.6  0.000      0      0      0      0      0      5.000   15.740  0.000
03/13/2002   1774      0   1774      0     29   5833      0    314      0      0      0      0      0   0.00   0.00      0   0.00 5606.2  0.000 7497.3  0.000      0      0      0      0      0      5.000   17.080  0.000
03/14/2002   2094      0   2094      0     29   5827      0      0      0      0      0      0      0   0.00   0.00      0   0.00 5602.0  0.000 7472.3  0.000      0      0      0      0      0      5.000   14.900  0.000
03/15/2002   2507      0   2507      0     29   5414      0      0      0      0      0      0      0   0.00   0.00      0   0.00 5597.0  0.000 7443.7  0.000      0      0      0      0      0      5.000   16.095  0.350
03/16/2002   2904      0   2904      0     29   5017      0      0      0      0      0      0      0   0.00   0.00      0   0.00 5591.2  0.000 7411.8  0.000      0      0      0      0      0      5.000   17.920  0.000
03/17/2002   3297      0   3297      0     29   4624      0      0      0      0      0      0      0   0.00   0.00      0   0.00 5571.6  0.000 7086.6  0.000      0      0      0      0      0      5.000   18.110  0.000
03/18/2002   3757      1   3756      0     28   4165      0      0      0      0      0      0      0   0.00   0.00      0   0.00 5549.6  0.000 6710.6  0.000      0      0      0      0      0      5.000   19.240  0.000
03/19/2002   4194      2   4192      0     27   3729      0      0      0      0      0      0      0   0.00   0.00      0   0.00 5541.2  0.000 6668.9  0.000      0      0      0      0      0      5.000   16.265  0.000
03/20/2002   4651      4   4647      0     25   3274      0      0      0      0      0      0      0   0.00   0.00      0   0.00 5531.9  0.000 6624.0  0.000      0      0      0      0      0      5.000   16.665  0.000
03/21/2002   5198      7   5182      9     22   2729      0      0      0      0      0      0      0   0.00   0.00      0   0.00 5521.5  0.000 6576.8  0.000      0      0      0      0      0      5.000   17.015  0.000
03/22/2002   5809     10   5762     37     19   2119      0      0      0      3      0      0      0   0.00   0.00      0   0.00 5490.0  0.000 6018.5  0.000      0      0      0      0      0      5.000   19.115  0.000
03/23/2002   6434     13   6342     79     16   1494      0      0      0     21      0      0      0   0.00   0.00      0   0.00 5456.1  0.000 5421.9  0.000      0      0      0      0      0      5.000   24.770  0.000
03/24/2002   6931     17   6770    144     12    997      0      0      0     59      0      0      0   0.00   0.00      0   0.00 5420.5  0.000 4791.5  0.000      0      0      0      0      0      5.000   22.550  0.000
03/25/2002   7265     22   7025    218      7    663      0      3      0    118      0      0      0   0.00   0.00      0   0.00 5401.3  0.000 4108.2  0.000      0      0      0      0      0      5.000   19.085  0.000
03/26/2002   7613     27   7290    296      2    314      0     21      0    202      0      0      0   0.00   0.00      0   0.00 5387.6  0.000 3389.7  0.000      0      0      0      0      0      5.000   22.215  0.000
03/27/2002   7922     29   7530    363      0      0      0     59      0    305      0      0      0   0.00   0.00      0   0.00 5379.1  0.000 2650.8  0.000      0      0      0      0      0      5.000   23.285  0.000
03/28/2002   7915     29   7419    467      0      0      0    121      0    424      0      0      0   0.00   0.00      0   0.00 5345.0  0.000 1898.2  0.000      0      0      0      0      0      5.000   25.770  5.525
03/29/2002   7908     29   7295    584      0      0      0    223      0    554      0      0      0   0.00   0.00      0   0.00 5313.1  0.000 1152.6  0.000      0      0      0      0      0      5.000   26.310  6.900
03/30/2002   7901     29   7156    716      0      3      0    361      0    703      0      0      0   0.00   0.00      0   0.00 5283.5  0.000  419.3  0.000      0      0      0      0      0      5.000   27.655 11.925
03/31/2002   7895     29   6958    908      0     21      0    524      0    874      0      0      0   0.00   0.00      0   0.00 5256.6  0.000    0.0  0.000      0      0      0      0      0      5.000   28.615  0.600
04/01/2002   7895     29   6695   1171      0     59      0    718      0   1044      0      0      0   0.00   0.00      0   0.00 5322.4  0.000    0.0  0.000      0      0      0      0      0      5.000   25.170  0.125
04/02/2002   7895     29   6465   1401      0    121      0    946      0   1275      0      0      0   0.00   0.00      0   0.00 5408.8  0.000    0.0  0.000      0      0      0      0      0      5.000   28.380  0.000
04/03/2002   7895     29   6147   1719      0    223      0   1196      0   1549      0      0      0   0.00   0.00      0   0.00 5522.0  0.000    0.0  0.000      0      0      0      0      0      5.000   32.610  0.000
04/04/2002   7895     29   5827   2039      0    364      0   1457      0   1838      0      0      0   0.00   0.00      0   0.00 5661.3  0.000    0.0  0.000      0      0      0      0      0      5.000   28.125  0.000
04/05/2002   7875     29   5414   2362      0    545      0   1797      1   2111      0      0      0   0.00   0.00      0   0.00 5826.8  0.000    0.0  0.000      0      0      0      0      0      5.000   29.345  0.000
04/06/2002   7875     29   5017   2362      0    777      0   2191      4   2403      0      0      0   0.00   0.00      0   0.00 5812.4  0.000    0.0  0.000      0      0      0      0      0      5.000   34.785  6.250
04/07/2002   7839     29   4624   2351      0   1067      0   2592      9   2709      0      0      0   0.00   0.00      0   0.00 5978.2  0.000    0.0  0.000      0      0      0      0      0      5.000   34.460  0.000
04/08/2002   7838     28   4165   2351      0   1419      1   3034     15   2976      0      0      0   0.00   0.00      0   0.00 5963.2  0.000    0.0  0.000      0      0      0      0      0      5.000   35.850  6.825
04/09/2002   7837     27   3729   2351      0   1821      4   3550     22   3195      0      0      0   0.00   0.00      0   0.00 5947.6  0.000    0.0  0.000      0      0      0      0      0      5.000   34.850  0.350
04/10/2002   7774     25   3274   2332      0   2342      9   4026     29   3399      0      0      0   0.00   0.00      0   0.00 6110.6  0.000    0.0  0.000      0      0      0      0      0      5.000   33.850  0.000
04/11/2002   7699     22   2729   2309      0   2968     16   4461     37   3592      0      0      0   0.00   0.00      0   0.00 6271.7  0.000    0.0  0.000      0      0      0      0      0      5.000   32.625  0.000
04/12/2002   7621     19   2122   2286      0   3656     26   4907     44   3763      0      0      0   0.00   0.00      0   0.00 6430.5  0.000    0.0  0.000      0      0      0      0      0      5.000   31.090  0.000
04/13/2002   6995     16   1515   2098      0   4432     38   5314     51   3873      0      0      0   0.00   0.00      0   0.00 6575.1  0.000    0.0  0.000      0      0      0      0      0      5.000   28.170  0.000
04/14/2002   6766     12   1056   2029      0   5312     53   5650     53   3765      0      0      0   0.00   0.00      0   0.00 6713.8  0.000    0.0  0.000      0      0      0      0      0      5.000   22.205  0.050
04/15/2002   6823      7    784   2046      1   6247     69   5961     54   3618      0      0      0   0.00   0.00      0   0.00 6696.0  0.000    0.0  0.000      0      0      0      0      0      5.000   22.030  5.075
04/16/2002   6690      2    537   2007      4   7206     85   6211     57   3616      0      0      0   0.00   0.00      0   0.00 6831.4  0.000    0.0  0.000      0      0      0      0      0      5.000   25.950  0.000
