lat,lon,cellid,stateid,apple,pears,walnut
42.84375,-72.28125,267604,33,0.000061,0.000000,0.000000
42.84375,-71.96875,267609,33,0.001328,0.000000,0.000000
42.84375,-71.90625,267610,33,0.000122,0.000000,0.000000
42.84375,-71.78125,267612,33,0.000534,0.000000,0.000000
42.84375,-71.71875,267613,33,0.005951,0.000000,0.000000
42.84375,-71.65625,267614,33,0.000641,0.000000,0.000000
42.84375,-71.59375,267615,33,0.000839,0.000000,0.000000
42.84375,-71.53125,267616,33,0.000793,0.000000,0.000000
42.84375,-71.46875,267617,33,0.000641,0.000000,0.000000
42.84375,-71.40625,267618,33,0.006989,0.000000,0.000000
42.84375,-71.34375,267619,33,0.003708,0.000000,0.000000
42.84375,-71.28125,267620,33,0.002670,0.000000,0.000000
42.84375,-71.21875,267621,33,0.000320,0.000000,0.000000
42.84375,-70.96875,267625,25,0.001160,0.000000,0.000000
42.84375,-70.90625,267626,25,0.000290,0.000000,0.000000
42.78125,-122.71875,265861,41,0.000000,0.000031,0.000000
42.78125,-88.21875,266413,55,0.000031,0.000000,0.000000
42.78125,-86.15625,266446,26,0.000137,0.000000,0.000000
42.78125,-86.09375,266447,26,0.000351,0.000000,0.000000
42.78125,-86.03125,266448,26,0.001068,0.000000,0.000000
42.78125,-85.96875,266449,26,0.001083,0.000000,0.000000
42.78125,-85.90625,266450,26,0.001038,0.000000,0.000000
42.78125,-85.84375,266451,26,0.001328,0.000000,0.000000
42.78125,-85.78125,266452,26,0.001663,0.000000,0.000000
42.78125,-85.71875,266453,26,0.001328,0.000031,0.000000
42.78125,-85.65625,266454,26,0.001801,0.000000,0.000000
42.78125,-85.59375,266455,26,0.002411,0.000000,0.000000
42.78125,-85.53125,266456,26,0.000458,0.000000,0.000000
42.78125,-85.46875,266457,26,0.000244,0.000000,0.000000
42.78125,-85.40625,266458,26,0.000748,0.000000,0.000000
42.78125,-85.34375,266459,26,0.000870,0.000000,0.000000
42.78125,-85.28125,266460,26,0.000931,0.000000,0.000000
42.78125,-85.21875,266461,26,0.001480,0.000000,0.000000
42.78125,-85.15625,266462,26,0.000214,0.000000,0.000000
42.78125,-85.09375,266463,26,0.000412,0.000000,0.000000
42.78125,-85.03125,266464,26,0.000031,0.000000,0.000000
42.78125,-84.96875,266465,26,0.000076,0.000000,0.000000
42.78125,-84.90625,266466,26,0.000031,0.000000,0.000000
42.78125,-84.53125,266472,26,0.000137,0.000000,0.000000
42.78125,-84.46875,266473,26,0.000107,0.000000,0.000000
42.78125,-84.40625,266474,26,0.000031,0.000000,0.000000
42.78125,-84.34375,266475,26,0.000031,0.000000,0.000000
42.78125,-84.03125,266480,26,0.000061,0.000000,0.000000
42.78125,-83.59375,266487,26,0.000015,0.000000,0.000000
42.78125,-83.28125,266492,26,0.000015,0.000000,0.000000
42.78125,-83.15625,266494,26,0.000122,0.000000,0.000000
42.78125,-83.09375,266495,26,0.002136,0.000000,0.000000
42.78125,-83.03125,266496,26,0.000214,0.000000,0.000000
42.78125,-82.96875,266497,26,0.000320,0.000000,0.000000
42.78125,-82.90625,266498,26,0.000183,0.000000,0.000000
42.78125,-82.84375,266499,26,0.000137,0.000000,0.000000
42.78125,-82.78125,266500,26,0.000351,0.000000,0.000000
42.78125,-82.71875,266501,26,0.000046,0.000000,0.000000
42.78125,-82.65625,266502,26,0.000183,0.000000,0.000000
42.78125,-82.59375,266503,26,0.000076,0.000000,0.000000
42.78125,-82.53125,266504,26,0.000076,0.000000,0.000000
42.78125,-78.78125,266564,36,0.000046,0.000000,0.000000
42.78125,-78.09375,266575,36,0.000046,0.000000,0.000000
42.78125,-77.84375,266579,36,0.000015,0.000000,0.000000
42.78125,-77.53125,266584,36,0.000076,0.000000,0.000000
42.78125,-77.40625,266586,36,0.000015,0.000000,0.000000
42.78125,-77.34375,266587,36,0.000717,0.000000,0.000000
42.78125,-77.21875,266589,36,0.000031,0.000000,0.000000
42.78125,-77.15625,266590,36,0.000092,0.000000,0.000000
42.78125,-77.09375,266591,36,0.000137,0.000000,0.000000
42.78125,-77.03125,266592,36,0.005707,0.000000,0.000000
42.78125,-76.96875,266593,36,0.006119,0.000000,0.000000
42.78125,-76.90625,266594,36,0.000061,0.000000,0.000000
42.78125,-76.84375,266595,36,0.000031,0.000000,0.000000
42.78125,-76.78125,266596,36,0.000092,0.000000,0.000000
42.78125,-76.65625,266598,36,0.000031,0.000000,0.000000
42.78125,-76.46875,266601,36,0.000229,0.000000,0.000000
42.78125,-76.40625,266602,36,0.000931,0.000015,0.000000
42.78125,-76.34375,266603,36,0.000198,0.000046,0.000000
42.78125,-76.28125,266604,36,0.000031,0.000000,0.000000
42.78125,-76.21875,266605,36,0.000137,0.000031,0.000000
42.78125,-76.15625,266606,36,0.000229,0.000015,0.000000
42.78125,-76.09375,266607,36,0.000092,0.000031,0.000000
42.78125,-75.59375,266615,36,0.000076,0.000000,0.000000
42.78125,-75.03125,266624,36,0.000046,0.000000,0.000000
42.78125,-74.65625,266630,36,0.001251,0.000000,0.000000
42.78125,-74.59375,266631,36,0.000092,0.000000,0.000000
42.78125,-74.34375,266635,36,0.000061,0.000000,0.000000
42.78125,-74.28125,266636,36,0.000046,0.000000,0.000000
42.78125,-74.09375,266639,36,0.000305,0.000000,0.000000
42.78125,-74.03125,266640,36,0.003799,0.000000,0.000000
42.78125,-73.96875,266641,36,0.001068,0.000000,0.000000
42.78125,-73.84375,266643,36,0.000061,0.000000,0.000000
42.78125,-73.78125,266644,36,0.000061,0.000000,0.000000
42.78125,-73.71875,266645,36,0.000092,0.000000,0.000000
42.78125,-72.65625,266662,50,0.000122,0.000000,0.000000
42.78125,-72.59375,266663,50,0.000198,0.000000,0.000000
42.78125,-72.53125,266664,50,0.000168,0.000000,0.000000
42.78125,-72.46875,266665,33,0.000122,0.000000,0.000000
42.78125,-72.40625,266666,33,0.000351,0.000000,0.000000
42.78125,-71.96875,266673,33,0.000076,0.000000,0.000000
42.78125,-71.84375,266675,33,0.000137,0.000000,0.000000
42.78125,-71.78125,266676,33,0.000229,0.000000,0.000000
42.78125,-71.71875,266677,33,0.000076,0.000000,0.000000
42.78125,-71.65625,266678,33,0.000824,0.000000,0.000000
