"location","elevation","state_fips","state","lat","long","biofix"
"36.78125_-119.46875",160.1,"06","CA",36.78125,-119.46875,208.43559640625
"36.78125_-119.53125",129.2,"06","CA",36.78125,-119.53125,209.50782640625
"36.78125_-119.59375",119.5,"06","CA",36.78125,-119.59375,209.84441640625
"36.78125_-119.65625",111.4,"06","CA",36.78125,-119.65625,210.12548640625
"36.78125_-119.96875",82.2,"06","CA",36.78125,-119.96875,211.13872640625
"36.78125_-120.03125",76.1,"06","CA",36.78125,-120.03125,211.35039640625
"36.78125_-120.09375",70,"06","CA",36.78125,-120.09375,211.56206640625
"36.78125_-120.15625",63.3,"06","CA",36.78125,-120.15625,211.79455640625
"36.78125_-120.21875",57.5,"06","CA",36.78125,-120.21875,211.99581640625
"36.78125_-120.34375",48.3,"06","CA",36.78125,-120.34375,212.31505640625
"36.84375_-119.71875",113.5,"06","CA",36.84375,-119.71875,208.98971015625
"36.84375_-119.84375",99.1,"06","CA",36.84375,-119.84375,209.48939015625
"36.84375_-119.90625",92.5,"06","CA",36.84375,-119.90625,209.71841015625
"36.84375_-119.96875",85.5,"06","CA",36.84375,-119.96875,209.96131015625
"36.84375_-120.03125",79,"06","CA",36.84375,-120.03125,210.18686015625
"36.84375_-120.09375",72.6,"06","CA",36.84375,-120.09375,210.40894015625
"36.90625_-119.78125",107.8,"06","CA",36.90625,-119.78125,208.12987515625
"36.90625_-119.84375",108.8,"06","CA",36.90625,-119.84375,208.09517515625
"36.90625_-119.90625",97.3,"06","CA",36.90625,-119.90625,208.49422515625
"36.90625_-119.96875",88.1,"06","CA",36.90625,-119.96875,208.81346515625
"36.90625_-120.03125",82.4,"06","CA",36.90625,-120.03125,209.01125515625
"36.90625_-120.09375",76.2,"06","CA",36.90625,-120.09375,209.22639515625
"36.90625_-120.15625",69.4,"06","CA",36.90625,-120.15625,209.46235515625
"36.96875_-119.71875",129.8,"06","CA",36.96875,-119.71875,206.31413140625
