"location","fips","st_county"
"39.96875_-77.15625",42001,"PA_Adams "
"39.96875_-77.21875",42001,"PA_Adams "
"39.96875_-77.28125",42001,"PA_Adams "
"39.96875_-77.34375",42001,"PA_Adams "
"39.96875_-77.40625",42001,"PA_Adams "
"40.03125_-122.09375",6103,"CA_Tehama "
"40.03125_-122.15625",6103,"CA_Tehama "
"40.03125_-122.21875",6103,"CA_Tehama "
"40.03125_-77.09375",42001,"PA_Adams "
"40.03125_-77.15625",42001,"PA_Adams "
"40.03125_-77.21875",42041,"PA_Cumberland "
"40.03125_-77.28125",42041,"PA_Cumberland "
"40.09375_-122.09375",6103,"CA_Tehama "
"40.09375_-122.15625",6103,"CA_Tehama "
"40.09375_-122.21875",6103,"CA_Tehama "
"40.09375_-77.15625",42041,"PA_Cumberland "
"40.15625_-122.09375",6103,"CA_Tehama "
"40.15625_-122.15625",6103,"CA_Tehama "
"40.15625_-122.21875",6103,"CA_Tehama "
"40.40625_-122.21875",6089,"CA_Shasta "
"40.96875_-72.78125",36103,"NY_Suffolk "
"41.15625_-90.65625",17131,"IL_Mercer "
"41.21875_-90.65625",17131,"IL_Mercer "
"41.28125_-89.84375",17011,"IL_Bureau "
"41.28125_-89.90625",17073,"IL_Henry "
"41.34375_-89.90625",17073,"IL_Henry "
"41.34375_-89.96875",17073,"IL_Henry "
"41.34375_-90.78125",17161,"IL_Rock Island "
"41.46875_-72.84375",9009,"CT_New Haven "
"41.46875_-74.15625",36071,"NY_Orange "
"41.53125_-73.96875",36027,"NY_Dutchess "
"41.53125_-74.15625",36071,"NY_Orange "
"41.59375_-73.96875",36111,"NY_Ulster "
"41.59375_-74.03125",36111,"NY_Ulster "
"41.59375_-74.09375",36071,"NY_Orange "
"41.59375_-74.15625",36111,"NY_Ulster "
"41.65625_-72.59375",9003,"CT_Hartford "
"41.65625_-73.96875",36111,"NY_Ulster "
"41.65625_-74.03125",36111,"NY_Ulster "
"41.65625_-74.09375",36111,"NY_Ulster "
"41.65625_-74.15625",36111,"NY_Ulster "
"41.71875_-73.96875",36111,"NY_Ulster "
"41.71875_-74.03125",36111,"NY_Ulster "
"41.71875_-74.09375",36111,"NY_Ulster "
"41.71875_-74.15625",36111,"NY_Ulster "
"41.78125_-74.03125",36111,"NY_Ulster "
"41.84375_-83.78125",26091,"MI_Lenawee "
"41.90625_-86.34375",26021,"MI_Berrien "
"41.90625_-86.40625",26021,"MI_Berrien "
"41.90625_-86.46875",26021,"MI_Berrien "
"41.90625_-86.53125",26021,"MI_Berrien "
"41.96875_-121.59375",6093,"CA_Siskiyou "
"41.96875_-86.09375",26027,"MI_Cass "
"41.96875_-86.21875",26027,"MI_Cass "
"41.96875_-86.28125",26021,"MI_Berrien "
"41.96875_-86.34375",26021,"MI_Berrien "
"41.96875_-86.40625",26021,"MI_Berrien "
"41.96875_-86.46875",26021,"MI_Berrien "
"42.03125_-86.15625",26027,"MI_Cass "
"42.03125_-86.21875",26027,"MI_Cass "
"42.03125_-86.28125",26021,"MI_Berrien "
"42.03125_-86.34375",26021,"MI_Berrien "
"42.09375_-86.09375",26159,"MI_Van Buren "
"42.09375_-86.15625",26159,"MI_Van Buren "
"42.09375_-86.21875",26159,"MI_Van Buren "
"42.09375_-86.28125",26021,"MI_Berrien "
"42.09375_-86.34375",26021,"MI_Berrien "
"42.15625_-73.84375",36021,"NY_Columbia "
"42.15625_-86.03125",26159,"MI_Van Buren "
"42.15625_-86.09375",26159,"MI_Van Buren "
"42.15625_-86.15625",26159,"MI_Van Buren "
"42.15625_-86.21875",26159,"MI_Van Buren "
"42.15625_-86.28125",26021,"MI_Berrien "
"42.15625_-86.34375",26021,"MI_Berrien "
"42.21875_-85.78125",26159,"MI_Van Buren "
"42.21875_-85.96875",26159,"MI_Van Buren "
"42.21875_-86.03125",26159,"MI_Van Buren "
"42.21875_-86.09375",26159,"MI_Van Buren "
"42.21875_-86.15625",26159,"MI_Van Buren "
"42.28125_-72.34375",25015,"MA_Hampshire "
"42.28125_-85.96875",26159,"MI_Van Buren "
"42.28125_-86.03125",26159,"MI_Van Buren "
"42.28125_-86.09375",26159,"MI_Van Buren "
"42.28125_-86.15625",26159,"MI_Van Buren "
"42.28125_-86.21875",26159,"MI_Van Buren "
"42.28125_-86.28125",26159,"MI_Van Buren "
"42.34375_-85.90625",26159,"MI_Van Buren "
"42.34375_-85.96875",26159,"MI_Van Buren "
"42.34375_-86.03125",26159,"MI_Van Buren "
"42.34375_-86.09375",26159,"MI_Van Buren "
"42.34375_-86.15625",26159,"MI_Van Buren "
"42.34375_-86.21875",26159,"MI_Van Buren "
"42.34375_-86.28125",26159,"MI_Van Buren "
