"location","elevation","state_fips","state","lat","long","biofix"
"37.59375_-121.15625",11.7,"06","CA",37.59375,-121.15625,201.643766601562
"37.59375_-121.21875",18,"06","CA",37.59375,-121.21875,201.643766601562
"37.59375_-121.28125",44.4,"06","CA",37.59375,-121.28125,201.643766601562
"37.65625_-120.65625",60.9,"06","CA",37.65625,-120.65625,200.534719726563
"37.65625_-120.71875",54.6,"06","CA",37.65625,-120.71875,200.534719726563
"37.65625_-120.78125",47.5,"06","CA",37.65625,-120.78125,200.534719726563
"37.65625_-120.84375",40.9,"06","CA",37.65625,-120.84375,200.534719726563
"37.65625_-120.90625",35.1,"06","CA",37.65625,-120.90625,200.534719726563
"37.65625_-121.03125",25.2,"06","CA",37.65625,-121.03125,200.534719726563
"37.65625_-121.09375",19,"06","CA",37.65625,-121.09375,200.534719726563
"37.65625_-121.15625",12.6,"06","CA",37.65625,-121.15625,200.534719726563
"37.65625_-121.21875",9.6,"06","CA",37.65625,-121.21875,200.534719726563
"37.65625_-121.28125",19.3,"06","CA",37.65625,-121.28125,200.534719726563
"37.65625_-121.34375",37.7,"06","CA",37.65625,-121.34375,200.534719726563
"37.65625_-121.40625",70,"06","CA",37.65625,-121.40625,200.534719726563
"37.71875_-120.65625",72.1,"06","CA",37.71875,-120.65625,199.431493164063
"37.71875_-120.71875",61.3,"06","CA",37.71875,-120.71875,199.431493164063
"37.71875_-120.78125",63.1,"06","CA",37.71875,-120.78125,199.431493164063
"37.71875_-120.84375",54.3,"06","CA",37.71875,-120.84375,199.431493164063
"37.71875_-120.90625",43.4,"06","CA",37.71875,-120.90625,199.431493164063
"37.71875_-120.96875",34.5,"06","CA",37.71875,-120.96875,199.431493164063
"37.71875_-121.03125",28.2,"06","CA",37.71875,-121.03125,199.431493164063
"37.71875_-121.09375",21.7,"06","CA",37.71875,-121.09375,199.431493164063
"37.71875_-121.15625",15.9,"06","CA",37.71875,-121.15625,199.431493164063
"37.71875_-121.21875",9.7,"06","CA",37.71875,-121.21875,199.431493164063
"37.71875_-121.28125",6.2,"06","CA",37.71875,-121.28125,199.431493164063
"37.71875_-121.34375",13.1,"06","CA",37.71875,-121.34375,199.431493164063
"37.71875_-121.40625",24.5,"06","CA",37.71875,-121.40625,199.431493164063
"37.78125_-120.71875",81.5,"06","CA",37.78125,-120.71875,198.334086914062
"37.78125_-120.78125",66.3,"06","CA",37.78125,-120.78125,198.334086914062
"37.78125_-120.84375",54.9,"06","CA",37.78125,-120.84375,198.334086914062
"37.78125_-120.90625",44.8,"06","CA",37.78125,-120.90625,198.334086914062
"37.78125_-120.96875",39.3,"06","CA",37.78125,-120.96875,198.334086914062
"37.78125_-121.03125",31,"06","CA",37.78125,-121.03125,198.334086914062
"37.78125_-121.09375",23,"06","CA",37.78125,-121.09375,198.334086914062
"37.78125_-121.15625",16.7,"06","CA",37.78125,-121.15625,198.334086914062
"37.78125_-121.21875",10.6,"06","CA",37.78125,-121.21875,198.334086914062
"37.78125_-121.28125",4.2,"06","CA",37.78125,-121.28125,198.334086914062
"37.78125_-121.34375",2.7,"06","CA",37.78125,-121.34375,198.334086914062
"37.78125_-78.96875",270.4,"51","VA",37.78125,-78.96875,198.334086914062
"37.84375_-120.71875",94.2,"06","CA",37.84375,-120.71875,197.242500976563
"37.84375_-120.84375",67.5,"06","CA",37.84375,-120.84375,197.242500976563
"37.84375_-120.90625",51.4,"06","CA",37.84375,-120.90625,197.242500976563
"37.84375_-120.96875",38.5,"06","CA",37.84375,-120.96875,197.242500976563
"37.84375_-121.03125",29.2,"06","CA",37.84375,-121.03125,197.242500976563
"37.84375_-121.09375",20.5,"06","CA",37.84375,-121.09375,197.242500976563
"37.84375_-121.15625",14.3,"06","CA",37.84375,-121.15625,197.242500976563
"37.84375_-121.21875",9.9,"06","CA",37.84375,-121.21875,197.242500976563
"37.84375_-121.28125",4.2,"06","CA",37.84375,-121.28125,197.242500976563
"37.84375_-121.34375",1.1,"06","CA",37.84375,-121.34375,197.242500976563
"37.84375_-121.40625",0.1,"06","CA",37.84375,-121.40625,197.242500976563
"37.90625_-120.84375",61.4,"06","CA",37.90625,-120.84375,196.156735351562
"37.90625_-120.90625",50.7,"06","CA",37.90625,-120.90625,196.156735351562
"37.90625_-120.96875",38.8,"06","CA",37.90625,-120.96875,196.156735351562
"37.90625_-121.03125",28.5,"06","CA",37.90625,-121.03125,196.156735351562
"37.90625_-121.09375",22.1,"06","CA",37.90625,-121.09375,196.156735351562
"37.90625_-121.15625",15.7,"06","CA",37.90625,-121.15625,196.156735351562
"37.90625_-121.21875",8.8,"06","CA",37.90625,-121.21875,196.156735351562
"37.90625_-121.28125",4.1,"06","CA",37.90625,-121.28125,196.156735351562
"37.90625_-121.34375",-0.1,"06","CA",37.90625,-121.34375,196.156735351562
"37.90625_-121.40625",-1.1,"06","CA",37.90625,-121.40625,196.156735351562
"37.96875_-120.96875",52.4,"06","CA",37.96875,-120.96875,195.076790039063
"37.96875_-121.03125",33.5,"06","CA",37.96875,-121.03125,195.076790039063
"37.96875_-121.09375",24.2,"06","CA",37.96875,-121.09375,195.076790039063
"37.96875_-121.15625",17.5,"06","CA",37.96875,-121.15625,195.076790039063
"37.96875_-121.21875",10.8,"06","CA",37.96875,-121.21875,195.076790039063
"37.96875_-121.40625",-3.4,"06","CA",37.96875,-121.40625,195.076790039063
"37.96875_-121.46875",-4.6,"06","CA",37.96875,-121.46875,195.076790039063
"38.03125_-120.96875",64.3,"06","CA",38.03125,-120.96875,194.002665039062
"38.03125_-121.03125",39.6,"06","CA",38.03125,-121.03125,194.002665039062
"38.03125_-121.09375",28.1,"06","CA",38.03125,-121.09375,194.002665039062
"38.03125_-121.15625",20.9,"06","CA",38.03125,-121.15625,194.002665039062
"38.03125_-121.21875",15,"06","CA",38.03125,-121.21875,194.002665039062
"38.03125_-121.28125",7.8,"06","CA",38.03125,-121.28125,194.002665039062
"38.03125_-121.34375",3.7,"06","CA",38.03125,-121.34375,194.002665039062
"38.03125_-121.40625",-2.8,"06","CA",38.03125,-121.40625,194.002665039062
"38.03125_-121.46875",-4.7,"06","CA",38.03125,-121.46875,194.002665039062
