ARRAYID,Location
845,data_46.34375_-119.40625
846,data_46.34375_-119.34375
847,data_46.34375_-119.28125
848,data_46.34375_-119.21875
849,data_46.34375_-119.15625
850,data_46.34375_-119.09375
851,data_46.34375_-119.03125
852,data_46.34375_-118.96875
853,data_46.34375_-118.90625
854,data_46.34375_-118.84375
855,data_46.34375_-118.78125
856,data_46.34375_-118.71875
857,data_46.34375_-118.65625
858,data_46.34375_-118.59375
859,data_46.34375_-118.53125
860,data_46.34375_-118.46875
861,data_46.34375_-118.40625
862,data_46.34375_-118.34375
863,data_46.34375_-118.28125
864,data_46.34375_-118.21875
865,data_46.34375_-118.15625
866,data_46.34375_-118.09375
867,data_46.34375_-118.03125
868,data_46.34375_-117.96875
869,data_46.34375_-117.90625
870,data_46.34375_-117.84375
871,data_46.34375_-117.78125
872,data_46.34375_-117.71875
873,data_46.34375_-117.65625
874,data_46.34375_-117.59375
875,data_46.34375_-117.53125
876,data_46.34375_-117.46875
877,data_46.34375_-117.40625
878,data_46.34375_-117.34375
879,data_46.34375_-117.28125
880,data_46.34375_-117.21875
881,data_46.34375_-117.15625
882,data_46.34375_-117.09375
883,data_46.40625_-124.03125
884,data_46.40625_-123.96875
885,data_46.40625_-123.90625
886,data_46.40625_-123.84375
887,data_46.40625_-123.78125
888,data_46.40625_-123.71875
889,data_46.40625_-123.65625
890,data_46.40625_-123.59375
891,data_46.40625_-123.53125
892,data_46.40625_-123.46875
893,data_46.40625_-123.40625
894,data_46.40625_-123.34375
895,data_46.40625_-123.28125
896,data_46.40625_-123.21875
897,data_46.40625_-123.15625
898,data_46.40625_-123.09375
899,data_46.40625_-123.03125
900,data_46.40625_-122.96875
901,data_46.40625_-122.90625
902,data_46.40625_-122.84375
903,data_46.40625_-122.78125
904,data_46.40625_-122.71875
905,data_46.40625_-122.65625
906,data_46.40625_-122.59375
907,data_46.40625_-122.53125
908,data_46.40625_-122.46875
909,data_46.40625_-122.40625
910,data_46.40625_-122.34375
911,data_46.40625_-122.28125
912,data_46.40625_-122.21875
913,data_46.40625_-122.15625
914,data_46.40625_-122.09375
915,data_46.40625_-122.03125
916,data_46.40625_-121.96875
917,data_46.40625_-121.90625
918,data_46.40625_-121.84375
919,data_46.40625_-121.78125
920,data_46.40625_-121.71875
921,data_46.40625_-121.65625
922,data_46.40625_-121.59375
923,data_46.40625_-121.53125
924,data_46.40625_-121.46875
925,data_46.40625_-121.40625
926,data_46.40625_-121.34375
927,data_46.40625_-121.28125
928,data_46.40625_-121.21875
929,data_46.40625_-121.15625
