"lat","long","locationGroup","location"
44.53125,-116.65625,"Oregon Area","44.53125_-116.65625"
44.59375,-123.71875,"Oregon Area","44.59375_-123.71875"
44.59375,-123.46875,"Oregon Area","44.59375_-123.46875"
44.59375,-123.40625,"Oregon Area","44.59375_-123.40625"
44.59375,-123.34375,"Oregon Area","44.59375_-123.34375"
44.59375,-123.28125,"Oregon Area","44.59375_-123.28125"
44.59375,-123.21875,"Oregon Area","44.59375_-123.21875"
44.59375,-123.15625,"Oregon Area","44.59375_-123.15625"
44.59375,-123.09375,"Oregon Area","44.59375_-123.09375"
44.59375,-123.03125,"Oregon Area","44.59375_-123.03125"
44.59375,-122.96875,"Oregon Area","44.59375_-122.96875"
44.59375,-122.90625,"Oregon Area","44.59375_-122.90625"
44.59375,-122.84375,"Oregon Area","44.59375_-122.84375"
44.59375,-122.78125,"Oregon Area","44.59375_-122.78125"
44.59375,-122.71875,"Oregon Area","44.59375_-122.71875"
44.59375,-122.03125,"Oregon Area","44.59375_-122.03125"
44.59375,-121.53125,"Oregon Area","44.59375_-121.53125"
44.59375,-117.46875,"Oregon Area","44.59375_-117.46875"
44.59375,-116.65625,"Oregon Area","44.59375_-116.65625"
44.65625,-123.84375,"Oregon Area","44.65625_-123.84375"
44.65625,-123.53125,"Oregon Area","44.65625_-123.53125"
44.65625,-123.46875,"Oregon Area","44.65625_-123.46875"
44.65625,-123.40625,"Oregon Area","44.65625_-123.40625"
44.65625,-123.28125,"Oregon Area","44.65625_-123.28125"
44.65625,-123.21875,"Oregon Area","44.65625_-123.21875"
44.65625,-123.15625,"Oregon Area","44.65625_-123.15625"
44.65625,-123.09375,"Oregon Area","44.65625_-123.09375"
44.65625,-123.03125,"Oregon Area","44.65625_-123.03125"
44.65625,-122.96875,"Oregon Area","44.65625_-122.96875"
44.65625,-122.90625,"Oregon Area","44.65625_-122.90625"
44.65625,-122.84375,"Oregon Area","44.65625_-122.84375"
44.65625,-122.78125,"Oregon Area","44.65625_-122.78125"
44.65625,-122.71875,"Oregon Area","44.65625_-122.71875"
44.65625,-122.15625,"Oregon Area","44.65625_-122.15625"
44.65625,-116.65625,"Oregon Area","44.65625_-116.65625"
44.71875,-123.78125,"Oregon Area","44.71875_-123.78125"
44.71875,-123.53125,"Oregon Area","44.71875_-123.53125"
44.71875,-123.46875,"Oregon Area","44.71875_-123.46875"
44.71875,-123.40625,"Oregon Area","44.71875_-123.40625"
44.71875,-123.34375,"Oregon Area","44.71875_-123.34375"
44.71875,-123.28125,"Oregon Area","44.71875_-123.28125"
44.71875,-123.21875,"Oregon Area","44.71875_-123.21875"
44.71875,-123.15625,"Oregon Area","44.71875_-123.15625"
44.71875,-123.09375,"Oregon Area","44.71875_-123.09375"
44.71875,-123.03125,"Oregon Area","44.71875_-123.03125"
44.71875,-122.96875,"Oregon Area","44.71875_-122.96875"
44.71875,-122.90625,"Oregon Area","44.71875_-122.90625"
44.71875,-122.84375,"Oregon Area","44.71875_-122.84375"
44.71875,-122.78125,"Oregon Area","44.71875_-122.78125"
44.71875,-122.71875,"Oregon Area","44.71875_-122.71875"
44.71875,-122.65625,"Oregon Area","44.71875_-122.65625"
44.71875,-122.40625,"Oregon Area","44.71875_-122.40625"
44.71875,-122.09375,"Oregon Area","44.71875_-122.09375"
44.71875,-121.96875,"Oregon Area","44.71875_-121.96875"
44.71875,-121.28125,"Oregon Area","44.71875_-121.28125"
44.71875,-121.21875,"Oregon Area","44.71875_-121.21875"
44.71875,-121.15625,"Oregon Area","44.71875_-121.15625"
44.71875,-121.09375,"Oregon Area","44.71875_-121.09375"
44.71875,-120.15625,"Oregon Area","44.71875_-120.15625"
44.78125,-123.46875,"Oregon Area","44.78125_-123.46875"
44.78125,-123.40625,"Oregon Area","44.78125_-123.40625"
44.78125,-123.34375,"Oregon Area","44.78125_-123.34375"
44.78125,-123.28125,"Oregon Area","44.78125_-123.28125"
44.78125,-123.21875,"Oregon Area","44.78125_-123.21875"
